Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,LAR,34,49,317,1,1,2,13,63,85.2,0,0,0,0,0,0,0,0,0,0,0
Kyren Williams,LAR,0,0,0,0,0,0,0,0,,18,50,1,9,3,3,4,0,8,0,0
Ronnie Rivers,LAR,0,0,0,0,0,0,0,0,,2,16,0,12,0,0,0,0,0,0,0
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,2,10,0,9,21,14,110,1,21,0,0
Puka Nacua,LAR,0,0,0,0,0,0,0,0,,1,7,0,7,4,4,35,0,16,0,0
Tyler Johnson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,79,0,63,0,0
Colby Parkinson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,47,0,20,0,0
Demarcus Robinson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,42,0,14,0,0
Davis Allen,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jared Goff,DET,18,28,217,1,1,2,17,52,85.0,1,7,0,7,0,0,0,0,0,0,0
David Montgomery,DET,0,0,0,0,0,0,0,0,,17,91,1,21,1,1,2,0,2,0,0
Jahmyr Gibbs,DET,0,0,0,0,0,0,0,0,,11,40,1,8,6,4,34,0,14,0,0
Jameson Williams,DET,0,0,0,0,0,0,0,0,,1,13,0,13,9,5,121,1,52,0,0
Kalif Raymond,DET,0,0,0,0,0,0,0,0,,1,12,0,12,0,0,0,0,0,0,0
Sam LaPorta,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,45,0,18,0,0
Amon-Ra St. Brown,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,13,0,5,0,0
Brock Wright,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
