Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Lamar Jackson,BAL,21,25,290,5,0,2,10,49,154.6,6,65,0,21,0,0,0,0,0,1,1
Josh Johnson,BAL,0,0,0,0,0,1,5,0,,1,-1,0,-1,0,0,0,0,0,0,0
Derrick Henry,BAL,0,0,0,0,0,0,0,0,,14,67,0,13,0,0,0,0,0,0,0
Rasheen Ali,BAL,0,0,0,0,0,0,0,0,,8,32,0,9,0,0,0,0,0,0,0
Justice Hill,BAL,0,0,0,0,0,0,0,0,,2,7,0,6,5,5,61,1,27,0,0
Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,80,2,49,0,0
Zay Flowers,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,53,0,15,0,0
Nelson Agholor,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,26,0,26,0,0
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,24,1,13,0,0
Devontez Walker,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,1,21,0,0
Isaiah Likely,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,11,0,0
Tylan Wallace,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tim Boyle,NYG,12,24,123,1,1,1,2,25,61.6,1,-1,0,-1,0,0,0,0,0,0,0
Tommy DeVito,NYG,10,13,68,0,0,2,8,16,88.0,1,0,0,0,0,0,0,0,0,0,0
Tyrone Tracy Jr.,NYG,0,0,0,0,0,0,0,0,,10,31,0,12,4,1,4,0,4,0,0
Devin Singletary,NYG,0,0,0,0,0,0,0,0,,8,25,1,5,3,3,16,0,8,0,0
Malik Nabers,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,14,10,82,1,23,0,0
Wan'Dale Robinson,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,38,0,25,0,0
Daniel Bellinger,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,35,0,17,0,0
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0
