Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jacoby Brissett,NWE,15,24,121,0,0,1,1,17,75.2,7,32,0,16,0,0,0,0,0,0,0
Rhamondre Stevenson,NWE,0,0,0,0,0,0,0,0,,25,120,1,17,3,3,6,0,6,1,0
Antonio Gibson,NWE,0,0,0,0,0,0,0,0,,7,18,0,8,0,0,0,0,0,0,0
Austin Hooper,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,31,0,16,0,0
Tyquan Thornton,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,27,0,17,0,0
K.J. Osborn,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,21,0,9,0,0
Hunter Henry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,9,0,0
Demario Douglas,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,9,0,0
Ja'Lynn Polk,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joe Burrow,CIN,21,29,164,0,0,3,10,28,86.0,4,15,0,6,0,0,0,0,0,1,0
Zack Moss,CIN,0,0,0,0,0,0,0,0,,9,44,1,16,4,2,17,0,12,0,0
Chase Brown,CIN,0,0,0,0,0,0,0,0,,3,11,0,8,3,3,12,0,5,0,0
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,62,0,28,0,0
Andrei Iosivas,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,26,0,13,0,0
Tanner Hudson,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,13,1,1
Mike Gesicki,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,18,0,7,0,0
Trenton Irwin,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Charlie Jones,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,1,1
