Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Gardner Minshew II,LVR,10,17,124,0,0,1,7,23,81.5,1,0,0,0,0,0,0,0,0,1,1
Desmond Ridder,LVR,11,16,74,1,0,4,34,22,99.5,1,2,0,2,0,0,0,0,0,1,1
Alexander Mattison,LVR,0,0,0,0,0,0,0,0,,9,36,0,7,0,0,0,0,0,0,0
Ameer Abdullah,LVR,0,0,0,0,0,0,0,0,,4,12,0,6,3,3,14,0,10,0,0
Zamir White,LVR,0,0,0,0,0,0,0,0,,6,10,1,4,0,0,0,0,0,0,0
Jakobi Meyers,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,105,0,23,0,0
Brock Bowers,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,45,1,22,0,0
Harrison Bryant,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,18,0,0
Ramel Keyton,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Tre Tucker,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,5,0,6,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joe Burrow,CIN,27,39,251,5,1,1,8,47,115.5,3,11,0,10,0,0,0,0,0,0,0
Chase Brown,CIN,0,0,0,0,0,0,0,0,,27,120,0,21,5,5,37,1,13,0,0
Mike Gesicki,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,100,2,47,0,0
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,43,0,11,0,0
Erick All,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,24,0,18,0,0
Drew Sample,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,14,1,5,0,0
Tanner Hudson,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,14,0,11,0,0
Andrei Iosivas,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,10,1,10,0,0
Kendric Pryor,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Trenton Irwin,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jake Browning,CIN,0,0,0,0,0,0,0,0,,1,-1,0,0,0,0,0,0,0,0,0
