Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,LAR,19,27,216,0,0,5,24,42,94.1,0,0,0,0,0,0,0,0,0,1,1
Blake Corum,LAR,0,0,0,0,0,0,0,0,,8,28,0,9,0,0,0,0,0,0,0
Kyren Williams,LAR,0,0,0,0,0,0,0,0,,12,25,1,9,5,4,27,0,10,0,0
Demarcus Robinson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,50,0,42,0,0
Tutu Atwell,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,48,0,21,0,0
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,37,0,24,0,0
Jordan Whittington,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,22,0,0
Tyler Johnson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,20,0,13,0,0
Colby Parkinson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0
Ronnie Rivers,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kyler Murray,ARI,17,21,266,3,0,1,8,60,158.3,5,59,0,26,0,0,0,0,0,0,0
James Conner,ARI,0,0,0,0,0,0,0,0,,21,122,1,22,1,1,2,0,2,1,0
Emari Demercado,ARI,0,0,0,0,0,0,0,0,,2,46,0,41,0,0,0,0,0,0,0
Trey Benson,ARI,0,0,0,0,0,0,0,0,,11,10,0,4,1,1,7,0,7,0,0
Marvin Harrison Jr.,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,130,2,60,0,0
Trey McBride,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,67,0,21,0,0
Michael Wilson,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,31,0,23,0,0
Elijah Higgins,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,18,1,18,0,0
Greg Dortch,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,8,0,0
Clayton Tune,ARI,0,0,0,0,0,0,0,0,,1,-6,0,-6,0,0,0,0,0,1,1
