Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Aaron Rodgers,NYJ,13,21,167,1,1,1,5,36,82.8,1,-1,0,-1,0,0,0,0,0,0,0
Tyrod Taylor,NYJ,6,8,36,1,0,0,0,9,122.9,1,7,0,7,0,0,0,0,0,0,0
Breece Hall,NYJ,0,0,0,0,0,0,0,0,,16,54,1,16,6,5,39,0,13,1,1
Braelon Allen,NYJ,0,0,0,0,0,0,0,0,,1,8,0,8,1,1,9,0,9,0,0
Allen Lazard,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,89,2,36,0,0
Garrett Wilson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,60,0,16,0,0
Tyler Conklin,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Brock Purdy,SFO,19,29,231,0,0,2,6,34,89.9,1,11,0,11,0,0,0,0,0,0,0
Deebo Samuel,SFO,0,0,0,0,0,1,4,0,,8,23,1,6,9,5,54,0,25,0,0
Jordan Mason,SFO,0,0,0,0,0,0,0,0,,28,147,1,24,1,1,5,0,5,0,0
Jauan Jennings,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,64,0,22,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,40,0,34,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,40,0,26,0,0
Brandon Aiyuk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,28,0,14,0,0
Eric Saubert,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Brandon Allen,SFO,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0
